问题,类别
联想到美国对中国半导体制裁，请问在面板产业，目前公司的上游供应链，是否有美国公司？有美国技术的供应商？请问公司是否有备胎计划，是否扶持更多和中国友好国家的供应链？谢谢,生产经营情况
董秘您好！请问公司截止10月20日股东户数是多少？谢谢！,股东与股权变动
很多证券公司都有增持回购的行为，请问贵公司是否有增持回购的打算？,股东与股权变动
你好，2021年度公司酶制剂销量1.6万吨，营收4.3亿元。而同行业溢多利酶制剂销量4万吨+，营收6.5亿元。为何销量和单价差异如此大？公司披露的酶制剂销量，是否按折纯后计算？,生产经营情况
你好，酶制剂和微生态在一定程度上也可作为动保药品使用。为何其生产不适用GMP规范？,生产经营情况
董秘，您好！ 请问贵司是怎么做安全生产工作的？ 今年都发生多少起人命事件，难道你们一点都不触动？ 安全生产，全国都在紧抓，难道你们力不从心？ 建议严厉问责，不能把生命当儿戏，出了人命，既要关停又要赔钱，这么大的损失，你们都不在意？ 谢谢！,生产经营情况
公司的钠离子电芯是否有意向客户？报告哪些客户？最先应用在哪些领域？,生产经营情况
董秘你好！请问公司有没有产品出口至德国？,公司基本状况
你好，华阳新材的单层氧化石墨烯的被子袜子产品有没有考虑像别的品牌一样放在东方甄选直播带货，让大家知道这个产品，好物就差商业推广了。,公司基本状况
请问可降解材料正常生产了吗，销售好吗，希望在新任董事长带领下市值越做越大,生产经营情况
请问贵公司有核酸检测亭业务吗？,公司基本状况
买了一套平沙9号的贷款还没办，现在降价20%，想着上一套付违约金重新买一套划算点，销售中心可以不卖么，中介说还有的,生产经营情况
请问2021年年报里显示的其他非流动负债项下的债权融资计划产品是在金交所发行的债权融资产品吗？,公司基本状况
公司股东两次半年的减持，公司股价从最高55元，一路跌破发行价，从发行价又下跌了20％，请问董秘， 大股东是否有亲自上阵买卖股票行为，是否有使用东方财富，同花顺删贴，禁言行为，让中小股东损失惨重，而也不能发声，如果有，是否有违职业道德和水准，大股东现在还在减持吗，什么时候减完，请问一下现在股东数,股东与股权变动
据华阳集团微信公众号“6月12日，华阳集团召开钠离子电池千亿级产业规划会”，请问华阳钠离子电池千亿级产业规划完成了吗，什么时候正式公布？谢谢！,生产经营情况
请问贵公司有无经历三年国企改革？取得了如何成效？ 如果贵公司没有三年国企改革，能否具体说明原因？,股东与股权变动
大唐微电子公司是公司控股公司还是参股公司？公安部一所持股占比多少？,公司基本状况
你好，公司的主营业务是什么，是否有扩产或新增业务的方向，谢谢。,公司基本状况
目前国内外有不少公司表示已经成功研发出8寸碳化硅衬底，请问贵司的8寸碳化硅衬底何时能够发布？,生产经营情况
东方明珠的业务构成很像之前的迪士尼（电影、公园、有线电视、宾馆度假村），可是迪士尼有经典动画人物作为灵魂贯穿着各个业务模块，形成非常高效的利润生成机器；而反观东方明珠，说是线上线下的融合，可是灵魂在哪里？还是企业自己的一厢情愿？企业设计恐怕有问题吧？！,公司基本状况
公司既然改名为发展，那能不能把地产的权重降低起码一半呢，要不然还是地产公司，和首开一点区别没有，还比首开规模小。要不然还是改回原来的名字北京城建。,公司基本状况
公司有没有回购股票的政策？,股东与股权变动
请问董事陈文为何要在此时减持公司的股份呢？用途是什么呢？,股东与股权变动
请问锂资源公司为什么设计产能为2万吨，但实际产能却远低于设计产能，是技术问题还是什么问题，请董秘了解清楚，再回答这个问题。我们股东很关心这家公司的经营状况，请董秘工作同样能够认真一点，不要每次都模糊回答。,生产经营情况
董秘您好！记得2016年公司与华为签署全面合作协议。双方将在智能光伏电站解决方案、联合技术创新、渠道资源等方面展开全方位的合作。可时至今日，双方合作无任何成果。。。此次与国轩高科签署战略协议，拟在电力工程特别是储能领域开展全方位合作，是否也跟华为合作一样，会不了了之呢？？？,生产经营情况
