请问2021年9月30日公司最新的股东人数和机构持股情况，谢谢	您好，请告诉我2021年9月30日该公司最新股东数量和机构持股情况。谢谢。	1
“国务院办公厅关于鼓励和支持社会资本参与生态保护修复的意见”，公司是否有参与“生态保护修复”？是否有相关的业务？	“国务院办公厅关于鼓励和支持社会资本参与生态保护修复的意见”，公司是否参与了“生态保护修复”？有相关业务吗？	1
请问贵公司产品在光伏方面是否有应用	您的产品在光伏领域有哪些应用？	1
请问董秘，贵司年报本月28号披露，正常来说公布年报会提前一天，请问贵司是在本周五收盘后发布，还是周末发，或者是周一公布？另外本次年报是否会披露新扩建新能源汽车项目进度？	请问董秘，你本月28日披露的年报，通常年报会提前一天公布。在周五、周末或周一收盘后宣布它？此外，这份年报会披露新能源汽车新扩张的进展情况吗？	1
您好，请问，贵公司截止9月30日股东人数是多少？谢谢！	请问到9月30日，你们公司的股东数量是多少？谢谢。	1
董秘你好,公司生产的碘化钾是否能抗核辐射?	请问董秘，公司生产的碘化钾能抵抗核辐射吗？	1
贵司在机构调研时说：按照合同计划，现在比较大的订单交付验收会落在二季度， 如果订单按照计划交付，二季度业绩可能会有比较大的增长。我是看到相关信息才买入贵司股票的，但没有看到贵司大幅预增的公告啊！	贵公司在机构调查中表示，根据合同计划，第二季度订单发货接受度下降，如果订单按计划发货，第二季度业绩可能会有很大提升。我只是在看到相关信息时买下了你的股票，但没有事先看到你大幅增收的公告。	1
请问公司生产订单供不应求吗？	这家公司的生产订单不符合需求吗？	1
请问（1）公司的销售人员和研发人员各有多少人？   （2）截止到12.24日，股东人数是多少？	请问(1)公司有多少销售人员和研发人员？(2)截至12时24分，股东人数是多少？	1
董秘您好：请问截止到2022年3月10号，贵司股东人数是多少？	董秘您好：截至2022年3月10日，贵公司股东人数是多少？	1
请问公司现有多少玻纤产能多少？近期有拓产计划么？公司产品在100mw风电机组装机中用量多少吨？	该公司有多少玻璃纤维生产能力？有没有计划在不久的将来扩大生产？我们的产品有多少吨用于安装100兆瓦的风力发电机组？	1
申万宏源西部证券有限公司霍尔果斯亚欧路证券营业部连续三天通过大宗交易减持328万股，为什么没有公告	申万宏源西部证券股票有限公司霍尔果斯亚欧路证券营业部连续第三天通过大宗交易减持328万股。为什么没有公告？	1
董秘你好，公司产品可用于储能领域嘛？	请问董秘，公司的产品可以在储能领域使用吗？	1
董秘你好，半年报显示，公司研发了新一代泛终端管理平台，该平台管理的终端从有线智能终端扩展到5G+物联网终端。平台采用插件的方式快速适配目前国内主流物联网厂家的终端接入模式和协议，支持SaaS模式部署。目前，平台已完成百余款终端或设备的接入适配，在冷链监测、智慧楼宇管理等行业场景得到应用，这些有订单吗	你好，董秘。半年报显示，该公司开发新一代泛终端管理平台，管理从有线智能终端到5G+物联网终端的终端。该平台使用插件快速适配国内主流物联网制造商当前的终端接入模式和协议，并支持SaaS模式部署。目前，该平台已完成100多台终端或设备的接入适应，应用于冷链监控、智慧楼宇管理等行业场景。有这些订单吗？	1
20年公司培养基的产量为318480升，销量为73654升，产销率为23%。正常情况下，公司培养基产能远大于销售需求。请问公司21年培养基的产量为多少?	近20年来，公司培养基产量318480升，销量73654升，产销率23%。在正常情况下，公司的培养基生产可以远远超过销售需求。该公司21年的培养基产量是多少？	1
新冠病毒全球大流行，至今仍未见结束的任何迹象。公司能不能发挥自身在全自动显微镜形态学检验方面的优势，拿出破釜沉舟的勇气，助力全球抗击新冠疫情？考验公司高层智慧和胆略的时刻到了！	新型冠状病毒的全球大流行尚未结束。该公司能否充分发挥其在自动显微镜形态测量方面的优势，勇于破锅沉没，帮助全世界抗击新冠肺炎疫情？现在是考验公司最高管理层智慧和勇气的时候了！	1
董秘你好，深圳作为目前最具经济活力的城市，聚集了大量互联网人才。贵公司的竞争对手腾讯文档、飞书都在深圳招兵买马，步步为营。贵公司作为高度重视研发的企业楷模，是否有计划在深圳开设研发中心，提升研发力量，网罗第一流人才？	你好，董秘。深圳作为目前最具经济活力的城市，聚集了大批互联网人才。贵公司的竞争对手腾讯文件和飞书在深圳招聘人才。作为高度重视研发的企业典范，贵公司有没有计划在深圳开设研发中心，提高研发实力，招聘一流人才？	1
公司股价持续下跌，一众高管没人站出来增持自家股票？	该公司股价持续下跌，高管中也没有人增持股份。	1
公司进行转型，对“易华录”这个名称有没有改名计划，使股民更简单容易通过名称关联想到公司业务	这家公司正在经历转型。有没有计划改名为“易华录”，以方便股东通过其名称与公司业务联系？	1
公司有没有空气能热泵方面的产品或技术储备	公司是否有空气能源热泵的产品或技术储备？	1
公司有多少个独家品种？分别是哪些产品？谢谢	那家公司有几个独特的品种？产品是什么？谢谢你，谢谢	1
请问公司三季度的半导体设备产能如何？晶圆再生业务是否产生了收入?	该公司第三季度的半导体设备产能是多少？晶圆回收业务能带来收入吗？	1
公司是否有出口销售的渠道和路径？是否重视海外出口业务？	公司有没有出口销售的渠道和方法？贵公司重视海外出口业务吗？	1
控股股东变更快一年了，公司是否有考虑更改名称？	控股股东变更快一年了，公司有没有考虑过改名？	1
董秘你好，公司左旋肉碱用于哪些领域和产品呢？减肥、运动饮料等有吗？公司核心成品产品有哪些，核心优势呢？	请问董秘，L-肉碱在公司使用的领域和产品有哪些？有减肥、运动饮料等吗？公司的核心成品有哪些核心优势？	1
董秘你好，请问红杉清仓式减持的原因是啥？看公告显示自身资金需求，可解禁已经半年了也没减持完毕。众高管也是解禁半年也没减持结束，是真的资金需求还是有别的原因？	董秘，您好，红杉清仓减少的原因是什么？看公告显示自身资金需求，但解禁半年并未减少。许多高管们也又解除了半年的禁令，没有结束他们的持股。这是真的需要资金，还是有其他原因？	1
请问，截至12月10日公司的股东总数是多少？谢谢	请问到12月10日，该公司股东总数是多少？谢谢你，谢谢	1
琴宝，再问下键合丝的进展如何了，订单有多少。	秦宝，我再问一次线的粘接情况，订单多少钱？	1
董秘好，请问公司产品是否可用于或已用于全钒液流电池？	请问该公司的产品可以用于全钒液流电池吗？	1
你好，美国目前大搞基础设施建设，请问公司的产品有没有进入美国市场？	您好，美国目前正在从事基础设施建设，该公司的产品是否已经进入美国市场？	1
请问公司现有钴产品的产能是多少？	该公司现有的钴产品产能是多少？	1
董秘你好，目前贵公司订单和销售情况怎么样	董秘，您好。目前你们的订单和销售情况如何？	1
罗秘书您好，请问贵公司生产的空气净化器相关产品是否能检测空气当中的某些病原体或污染物，有没有相关指标能让我们预防和抑制类似新冠病毒等病原体在空气中的传播？谢谢	罗书记您好，贵公司生产的空气净化器相关产品能否检测到空气中的一些病原体或污染物？有没有能够预防和抑制新型冠状病毒等病原体在空气中的传播的指标？谢谢你，谢谢	1
请问数字货币在起步阶段，公司只有少量该业务收入很正常，但已获得入场先机，在冬奥会数字货币场景公司可有参与？另外公司与华为元宇宙实现数据打通，连通了虚拟世界与现实世界，这个有何重大意义呢？请指教，谢谢	请问数字货币在起步阶段，公司只有少量这样的业务收入是非常正常的，但是已经给了准入机会，公司可以参与冬奥会数字货币场景吗？此外，该公司与华为元巴斯实现数据连接，连接虚拟世界和现实世界有什么意义？请给我建议。谢谢。	1
您好、请问截止到2021年12月10日收盘的股东人数是多少呢？谢谢！	您好，截至2021年12月10日，截止日期的股东人数是多少？谢谢。	1
我们看到公司近期注册成立了深圳市云迈文体有限公司，请问公司投资文体业务基于什么发展意图考虑，因为一般人看起来这个业务与现在公司业务毫无关联。同时我们也看到公司参股博洋精密，请问参股博洋精密投资了多少人民币？	我们看到该公司最近注册成立深圳市云脉体育有限公司，我想请该公司根据怎样的发展意向考虑投资文体业务。因为普通人似乎与目前的公司业务无关。同时，我们也看到该公司参与博洋精密。博洋精密投资了多少人民币？	1
你们和中国能建合作的氢能源项目进展如何，，，	你与中国可以合作的氢能项目进展如何？	1
董秘你好，贵司股票联系下跌，请问有什么利空消息吗？截至目前大股东可以减持、质押、融券业务？目前股东人数多少？	你好，董秘。你的股票下跌了。有什么坏消息吗？到目前为止，大股东能否减少债券的持有、质押、借款？目前的股东数量是多少？	1
公司目前的产能11万吨是否都有长期订单匹配？产销率目前是多少？有多少产能是已经被长期订单锁定， 多少是随行就市的散单？	该公司目前10000吨的产能是否长期订单一致？现在的产销率是多少？长期订单确定了多少产能？随行市的大宗订单是多少？	1
请问截止到12月20日的股东总数？	能告诉我到十二月二十号的股东总数吗？	1
董秘您好，贵公司马来西亚项目明年上半年能够投产么？	董秘，您好。贵公司在马来西亚的项目可以在明年上半年投产吗？	1
你好感觉贵公司生猪销售跟不上呀能实现55～60万头的销售吗？	你好，我觉得跟不上你们公司生猪的营业额。你能实现55-600000头的销售吗？	1
董秘您好： 国内铁公基项目大量新建，对公司的产品销量是否有积极影响？ 公司的产品对比国内其他公司产品，有何竞争优势？ 公司上市后，大股东中国机械科学研究总院对公司是否有其他业务支持？	请问董秘：中国很多新铁公基项目对公司产品销售有没有积极影响？与国内其他公司相比，该公司的产品有哪些竞争优势？公司上市后，大股东中国机械科学研究院是否对公司有其他业务支持？	1
你好，请问贵公司产品是否有应用于新冠治疗药物	请问你们的产品是用来治疗新冠肺炎的吗？	1
公司产品能检测幽门螺杆菌吗？	该公司的产品能检测幽门螺杆菌吗？	1
请问公司现在在手订单有多少？分别集中在什么行业？感谢答复	你能告诉我公司现在订购了多少吗？他们专注于什么样的行业？谢谢您的回信。	1
请问公司，公司产品是否已经应用在特高压领域，具体是什么？	请问该公司的产品已经用于特高压领域了吗？这到底是什么？	1
请问公司主营业务是局限于高碑店市还是全国皆有布局呢？	请问该公司的主要业务是仅限于高碑店市，还是遍布全国各地？	1
董秘你好，公司跟电子烟巨头思摩尔国际有业务合作吗？公司的电子烟传感器已经批量生产出售了吗？	请问董秘，该公司是否与电子烟巨头西摩国际有业务合作？该公司的电子烟传感器是否量产销售？	1
截止4月8日股东人数是多少？谢谢	截至4月8日，股东人数是多少？谢谢你，谢谢	1
尊敬的董秘你好！ 贵公司参股山东东岳未来氢能材料股份有限公司的持股比例是多少？谢谢	尊敬的董秘先生您好。贵公司在山东东岳未来氢能材料有限公司的持股比例是多少？谢谢你，谢谢	1
最近公司的回购，回购结束后，会注销吗？	回购结束后，公司最近的回购会被取消吗？	1
贵公司今年海外市场有无订单斩获，是否恢复正常业务推广？	今年你们在海外市场有订单吗？你想恢复并推广正常业务吗？	1
董秘你好，公司经营是否出现重大问题	你好，董秘。这个公司的运营有什么大问题吗？	1
您好董秘！明年开始乘用车开始安装EDR，请问贵公司电源产品是否可以应用到该领域？此次政府主导机会贵公司是否积极响应并有无布局？！谢谢！	董秘你好。乘用车从明年开始安装EDR。贵公司的电力产品适用于这个领域吗？你的公司有没有积极响应，被安置在这个政府主导的机会上？谢谢。	1
请问公司如何充分利用这次冬奥会的机遇，进一步提高公司产品在冰雪产业中的市场地位？	公司如何充分利用冬奥会契机，进一步提升产品在冰雪行业的市场地位？	1
请问公司经营是否正常？产品销量是否下降？未来发展是否可持续可增长？研发投入占比如何？	公司运作正常吗？销售额在下降吗？未来的发展是可持续的还是可持续的？研发投入的比例是多少？	1
请问公司在医美行业的面膜产品，是否有出口到欧美国家？	请问该公司医疗美容行业的面膜产品是否出口到欧美？	1
请问贵公司有无核酸检验车产品？	有没有核酸检测的汽车产品？	1
董秘你好，疫情影响下，公司最近经营情况如何？资本市场的表现是否真实反映贵公司的经营管理现状？	你好，董秘。受疫情影响，公司近期经营状况如何？资本市场的表现是否真实地反映了贵公司的经营管理现状？	1
请问公司有辅助生殖方面的业务吗？	这家公司有辅助生殖业务吗？	1
请问2021年年底股东人数？	请问2021年底的股东人数是多少？	1
董秘你好，公司处于上中下产业链哪环呢，竞争对手和核心的优势几何	你好，董秘。那家公司在上、中、下游产业链中处于什么样的环？竞争对手和核心优势是什么？	1
董秘你好，请问贵公司的产品有无应用于医药中间体或者新冠治疗方面？具体展开列举一下，谢谢	您好，董秘，您的产品是医药中间体还是用于治疗新冠肺炎？请详细列出这个。谢谢。	1
首先感谢你们不辞辛劳的回复我们提出的问题。請問把带有时间和姓名的股票交易软件持仓截图和身份证一并扫描发送至公司邮箱，可以获知 非定期报告相关时点的股东人数吗？盼你们具体，明确答复。顺祝你们.，身体健康，万事如意, 【比如截至到2022年8月10日贵公司的股东人数是多少？】..	首先，谢谢你不厌倦地回答我们的问题。能否通过将有时间、姓名和身份证的股票交易软件截图扫描到公司邮箱，了解不定期报告相关时间的股东人数？我们期待着你具体而明确的答案。祝你身体健康。希望一切顺利。[例如，截至2022年8月10日，贵公司股东人数是多少]	1
请问公司是否有中长期规划储能项目，如抽水电站	该公司是否有中长期规划的储能项目，如抽水蓄能电站？	1
董秘好，公司作为宁德时代核心供应商，请问公司产品是否可用于或已用于客户的钠离子电池和麒麟电池？	董美豪作为宁德时代的核心供应商，该公司的产品是否已经可以用于客户的钠离子电池和麒麟电池。	1
请问公司8月初与中国计量大学合作，是基于对方已有专利技术吗？现在进展如何？谢谢。	8月初该公司与中国计量大学的合作是否基于对方的专利技术？现在怎么样？谢谢。	1
公司的光存储介质是否运用到碳中和、碳达峰的战略方向，紫晶存储有没有为政务数据灾备、档案、医疗、金融等领域的用户提供更丰富的应用场景	公司的光存储介质是否适合碳中和、碳峰的战略方向？紫晶储存在政府数据备灾、档案、医疗、金融等领域为用户提供了更丰富的应用场景吗？	1
董秘你好，请问公司在光伏建筑一体化方面有相关的产品吗？公司是否有参与光伏建筑一体化相关方面的建设？	请问董秘，请问公司在光伏建筑一体化方面有相关产品吗？该公司是否参与太阳能发电建筑一体化建设？	1
请问公司现在还有熔喷布生产和销售吗？近期疫情情况是否对熔喷布销售有明显影响？公司产品还有什么可以用在防疫物资上吗？如防护服等？	该公司还在进行熔喷布的生产和销售吗？近期疫情对熔喷销售有重大影响吗？防疫材料中还有其他可以使用的东西吗？比如防护服？	1
贵公司产品是否可以用在机床等工业母机上，同时氢气储能技术进展如何？	你们的产品可以用于机床等工业母机吗？储氢技术有什么进展吗？	1
董秘您好，请问华正新材是贵公司高频、高速覆铜板和77G毫米波PCB用覆铜板的主要供应商吗，谢谢	董秘你好。华正新材料是贵公司高频、高速覆铜板和77G毫米波印刷电路板覆铜板的主要供应商吗？谢谢你，谢谢	1
公司2020年的订单情况如何？	该公司2020年的订单情况如何？	1
您好，请问公司产品能否实现核排放监测？	请问该公司的产品可以实现核排放监控吗？	1
请问，截至2022年2月10日，公司的股东数是多少？谢谢	请问到2022年2月10日，该公司的股东数量是多少？谢谢你，谢谢	1
你好，请问截至11月19日公司股东人数是多少？谢谢	请问到11月19日，公司股东人数是多少？谢谢你，谢谢	1
看到公司三季度报中经营性现金流大幅减少的原因主要是为了平衡原材料加个波动，提前备货，但公司在招股书中所说的销售策略是赚取加工费用，请问原材料的涨跌跟公司销售收入关系大吗？公司是否改变了销售模式？谢谢	可以看出，公司第三季度报告中经营性现金流大幅减少的原因主要是为了提前平衡原材料和库存的波动，而公司招股书中阐述的销售策略是赚取加工成本。原材料的涨跌与公司的销售收入有多大关系？那家公司改变了销售模式吗？谢谢你，谢谢	1
请问，截止11月20日最新的股东人数是多少？望告知一下，谢谢	告辞了。到11月20日，最新的股东人数是多少？请告诉我。谢谢。	1
请问公司在解决上游核心原件自主，解决卡脖子问题方面，有何战略规划？	抱歉，公司必须解决上游核心的自主性。要解决瓶颈问题，战略规划是什么？	1
尊敬的董秘：         您好！        截止目前本月的10日，最新的股东人数是多少？感谢您的及时回复。	尊敬的董秘：你好？到本月10日的最新股东人数是多少？感谢您的快速回复。	1
董秘好，受手机、电脑等消费电子出货量放缓，以及缺芯影响，9月份以来，PCB板厂订单出现明显下滑，部分工厂缺单严重。请问贵公司的客户订单如何，订单是否饱满，对公司产品的采购需求是否出现下滑情形？	董美浩表示，由于手机、个人电脑等消费电子产品出货量放缓及核心短缺，9月以来PCB板厂订单大幅下降，部分工厂严重短缺。请问贵公司客户的订单是什么？点菜满了吗？公司产品的购买需求下降了吗？	1
你好，请问贵公司截止12月20日股东人数是多少。	请问到12月20日，贵公司的股东数量是多少？	1
尊敬的董秘，您好，请问截止1月20日，贵司股东户数是多少？谢谢。	尊敬的董秘，你好？截至1月20日，贵公司的股东人数是多少？谢谢。	1
贵司目前经营状况如何，中美会晤后，对贵司出口方面是否起到积极的带动作用啊。	贵公司目前的经营状况如何？中方与美方见面后，对你们的出口起到了积极作用吗？	1
